id,sentiment_score
cmm3up57o00k20w21ebahircq,-0.39857548475265503
cmm7a6anp06l50d21pswqpvnj,0.4436967074871063
cmm3up6n400pk0w21qqcdzddz,-0.4097401201725006
cmm7a6bkf06mq0d217udzgmcz,-0.4126843214035034
cmm3upcta018v0w21y7qv63y3,-0.5311324596405029
cmm2ffxgs00gz1o21lad1a6mz,-0.4252459406852722
cmm2fg3c802481o21rlu3hirm,0.6636413335800171
cmm2ffz4z00xw1o211la32z4y,-0.3974107503890991
cmm7a60qr068m0d21dcz8c2m0,-0.55262690782547
cmm2fg0uj01ev1o212xfgfoq9,-0.39730924367904663
cmm2fg00p016f1o21sv6r4b3v,-0.4842033386230469
cmm2ffyay00pc1o21b2s2pntv,-0.46200045943260193
cmm2ffvak00001o21poa2cy1z,-0.3996451199054718
cmm7a61iq06cm0d21ixew3fhd,-0.5328578948974609
cmm2fg1ov01nb1o21hmwx7462,-0.47919920086860657
cmm7a62ai06fq0d21vdqkzz7g,-0.5284627079963684
cmm7a5shd05920d218m4xyn63,0.4083625376224518
cmm7a5wwl05yp0d21k4av4b6q,0.37464502453804016
cmm7a5w5z05tu0d21sf5q079g,0.4021884500980377
cmm0zzjcb0000013zvf77eqxj,-0.3875327706336975
cmm7a5qtl05090d21g4te0nyp,0.4114185571670532
cmm0zzn9o00zd013z1eibbao0,0.40052294731140137
cmm7a5vff05oy0d21j56s9wfv,-0.4566212296485901
cmm7a5ntw04fg0d21dcqzinmp,0.464661568403244
cmm7a5tyd05gi0d21wkuhwx30,-0.4259531795978546
cmm7a5rqt054v0d21jzj9uz4q,-0.5695650577545166
cmm7a5lki03tq0d21xqm3y2m4,0.4092302620410919
cmm0zzljb00j8013zxggrhqxi,-0.4024759829044342
cmm0zzk0q004q013zeby5xbt0,0.40763577818870544
cmm7a5q3104vq0d2162fzobd8,-0.41286933422088623
cmm7a5uov05kn0d21ugvzxby1,0.4032483398914337
cmm7a5ktm03mi0d21f8njiq27,0.3975898325443268
cmm7a5pcc04r80d21tsfm2x3t,-0.4451025724411011
cmm0zzns7015g013zwrpfn0d2,-0.38740473985671997
cmm0zzoa501bk013zz3f5ztqh,0.40816575288772583
cmm0zzos601hk013znsd3odmp,-0.399787038564682
cmm7a5ols04mp0d21kqq6tb0q,-0.42435431480407715
cmm0zzkiq009a013zo0ejnuo7,-0.3943633735179901
cmm7a5iwq03880d21mthan5md,-0.4049868583679199
cmm7a5xn5063l0d217ykit7h8,-0.403950572013855
cmm7a5k2p03fc0d219v6ptcpj,-0.4024215042591095
cmm0zzmrl00to013z7ie2wjxq,-0.3829231858253479
cmm0zzm1c00o5013zkfw8he72,-0.4266662299633026
cmm7a5n2b04860d21pj9doagk,-0.40518155694007874
cmm7a5mbh040z0d216xn2vcn4,0.38067030906677246
cmm7a5t7v05ci0d219fujx50h,-0.4538649618625641
cmm0zzl1400e8013zbehasy8j,0.4085177481174469
cmm7a5arf024y0d21uez6z58j,0.4000035524368286
cmm7a59u702050d21o54n3gvw,-0.49916312098503113
cmm7a536k00wp0d21id3qawnq,-0.4406672716140747
cmm7a54nt015f0d21u1s8q3bq,-0.40304872393608093
cmlzko1q201i0083zmuzv6s53,0.40436118841171265
cmlzknsg800lo083z2frplup5,-0.4703885316848755
cmm7a4zat009i0d21awo199fk,-0.4247106611728668
cmlzkob1402jm083z4f1wpx8w,0.40300291776657104
cmlzko54d01ui083zg78a14on,0.41129741072654724
cmm7a55eb019l0d21h25ykdfn,-0.47110262513160706
cmm7a53x801110d21okpijify,-0.47636058926582336
cmm7a4xl800000d21rijtz3bj,-0.4452812969684601
cmm7a5d1f02jg0d21tnkpg83d,0.38618722558021545
cmm7a5fzt033d0d21hhh31gvn,-0.41409730911254883
cmlzko5yn01xx083zrgmsou51,-0.4215380847454071
cmm7a56vq01hs0d219wzas6ub,-0.42257949709892273
cmm7a58cy01qq0d21d46bdpj8,-0.48605361580848694
