id,sentiment_score
cmlv8544q00r2emv5w4v07c4z,-0.7177977561950684
cmlv853zq00qyemv5h7tvhbm0,-0.8908599615097046
cmlv853q300qremv5ahvprttl,-0.9037219882011414
cmlv853l700qoemv5zbtty8g2,-0.5700438618659973
cmlv853gb00qlemv5wm3dkkmv,-0.8471009135246277
cmlv853bl00qhemv5lbbvg5d4,-0.8496679067611694
cmlv8536r00qcemv5t0kye3ae,-0.849452793598175
cmlv8531v00q4emv5xeqf7b4h,-0.7205101847648621
cmlv852i300piemv5lgtdtpzv,-0.8723555207252502
cmlv852dc00peemv5a1sujexa,-0.8644287586212158
cmlv8528t00paemv5pchq5fzl,-0.8900464177131653
cmlv8524400ozemv528761wp5,-0.7192649245262146
cmlv851up00osemv5t75jxuso,-0.6855564117431641
cmlv851pz00opemv5zzokrhil,0.4300138056278229
cmlv851ld00okemv5y97rn941,-0.9132433533668518
cmlv851gr00oaemv53omfc8bg,-0.9303930401802063
cmlv8517700o3emv5it0h9ody,-0.9497307538986206
cmlv850xv00ntemv5pawhzv5e,-0.759742021560669
cmlv850t400npemv5pt6jq88q,-0.9086577296257019
cmlv850of00niemv5dm45zc3s,-0.7818841338157654
cmlv850jm00naemv57furcgu1,-0.5829892754554749
cmlv850et00n5emv55kzqridd,-0.7495973706245422
cmlv850a300n2emv548pjmg9x,-0.852880597114563
cmlv8505d00myemv5akoaoor4,-0.739024817943573
cmlv8500n00muemv51vix4zum,-0.8451864123344421
cmlv84zvz00msemv5y6eqmstx,-0.7036526799201965
cmlv84zri00mqemv53xnrl3qg,-0.8379099369049072
cmlv84zmz00mmemv54o6gvk8x,-0.7424834966659546
cmlv84zi900mhemv5760db1wf,-0.7940924763679504
cmlv84yzw00lwemv5kypkngpl,-0.7603815197944641
cmlv84yv900llemv5na02apfr,-0.8037787675857544
cmlv84ym600leemv50ezsie5r,-0.4970631003379822
cmlv84yd300l6emv5fewsdas5,-0.8053122162818909
cmlv84y8j00l1emv59sezuvml,-0.7903788089752197
cmlv84y3v00kkemv5ngd9xxe6,-0.7349421977996826
cmlv84xv500kgemv5eww3y3m6,-0.7542933225631714
cmlv84xqi00k1emv5tdiipji3,-0.7376113533973694
cmlv84xlz00jwemv5fow9xvg5,-0.8572813868522644
cmlv84wyo00j7emv56rvg2bx3,-0.8688377737998962
cmlv84wk200isemv5ojbdwaau,-0.6860072016716003
cmlv84wfi00imemv5owuam7jn,-0.832261323928833
cmlv84waq00igemv5wkz1ud09,-0.8027954697608948
cmlv84w6400icemv5nfks801s,-0.768555760383606
cmlv84w1j00i9emv5i1j719dl,-0.851652979850769
cmlv84vwz00i4emv57op4rxiq,-0.7369498610496521
cmlv84vni00hqemv50jh282gy,-0.7417500019073486
cmlv84viz00hlemv5ttnuaqgo,-0.6688646674156189
